name,city,income,credit_score,loan_amount,years_employed,points,loan_approved
Kyle Reed,Samuelhaven,85392,418,26244,36,45,FALSE
Andrew Graham,West Ryan,74597,638,41839,20,50,FALSE
Belinda Mccullough,Elizabethmouth,66421,712,46692,18,60,TRUE
Cheryl Ortega,Byrdburgh,50379,608,27612,35,50,FALSE
Elizabeth Clark,Stevenmouth,58221,518,34500,30,35,FALSE
Toni Fitzgerald,West Zacharymouth,130072,395,16392,19,55,FALSE
Curtis Johnson,South Cheryl,74118,374,30846,26,35,FALSE
Laura Higgins,Snyderbury,43396,451,43995,0,10,FALSE
Shannon Mcclure,Robinsonhaven,42156,775,4291,35,70,TRUE
Ryan Bryant,Contrerasside,79797,624,30004,39,60,TRUE
Stephanie Simmons,Merrittfort,42676,760,17986,15,60,TRUE
Destiny Strickland,Simsview,77052,750,6077,18,90,TRUE
George Orozco,East Edwardfurt,141082,456,47295,13,50,FALSE
Jason Daniels,Brownchester,75082,698,39278,1,50,FALSE
Pamela James,West Kennethfurt,109131,729,36272,34,75,TRUE
Stephanie Freeman,Ryantown,64671,698,23028,25,65,TRUE
Sara Calhoun,South Brittanytown,135791,385,43123,27,50,FALSE
Joel Williams,Murphymouth,35695,634,23118,24,40,FALSE
Trevor Fisher,South Andrewside,125647,353,23935,14,55,FALSE
Rachael Pearson,East Jamestown,90217,456,16633,8,45,FALSE
Brian Gould,Lyonsstad,100284,471,40707,38,45,FALSE
Michelle Strickland,West Daniel,46361,326,21444,36,25,FALSE
Tina Sanders,North Brittany,79615,548,7678,19,55,FALSE
Lindsay Martinez,West Amandastad,40328,370,34158,21,25,FALSE
Jason Henry,Yumouth,102357,456,29540,11,50,FALSE
Tracie Nelson,Marshallshire,68427,574,22122,15,40,FALSE
Angelica Keith,Port Steven,138711,688,23046,1,65,TRUE
Frederick Freeman MD,Matthewview,112397,310,34857,12,50,FALSE
Nathan Freeman,Lake Thomas,111070,802,30371,1,75,TRUE
Daniel Holt,Elizabethstad,146057,784,37272,33,85,TRUE
Zachary Pierce,Jacquelineview,142945,613,17475,14,70,TRUE
Corey Wilson,East Javier,77400,795,19120,37,85,TRUE
Kelly Campbell,Port Jamesbury,105674,669,12759,19,70,TRUE
Joseph Hill,New Kellyberg,55203,802,7723,0,70,TRUE
Julie Alexander,North Johnny,122349,789,8476,4,85,TRUE
Benjamin Soto,East Edwardshire,39116,11,6582,15,50,FALSE
Phillip Obrien,Port Alexandra,36006,761,30014,19,60,TRUE
Wanda Torres,New Susanville,116673,512,41993,13,50,FALSE
Brad Allen,East Aaronmouth,59871,781,20087,2,65,TRUE
Michael Warner,Jonesbury,131327,570,41963,37,50,FALSE
Taylor Coleman,Lake Edward,67930,572,10321,4,35,FALSE
Ricky Larson,Scottmouth,40458,611,46857,25,40,FALSE
Kathryn Snyder,New Billchester,142108,630,40564,16,65,TRUE
Darryl Craig,Port Emilyview,60512,341,12481,30,45,FALSE
Jessica Ramirez,Waltersfort,143571,393,31802,22,55,FALSE
Frank Garcia,West Robert,43238,807,19888,25,65,TRUE
Krista Gibson,Johnnyville,79823,713,34724,0,50,FALSE
Kimberly Gutierrez,New Michael,66434,810,41986,28,75,TRUE
Christina Dunn,Samuelfort,89429,424,2891,40,55,FALSE
Cynthia Moore,New Rickybury,113320,416,31241,7,45,FALSE
Brittany Cantu,Williamview,139328,725,32621,30,80,TRUE
Juan Reyes,Port Chad,77819,724,23274,32,70,TRUE
Aaron Barber,Grimesmouth,51319,795,23618,21,70,TRUE
Kimberly Gibson,Mollybury,78520,692,16306,26,75,TRUE
Patrick Thornton,Hughesberg,76566,807,3426,8,90,TRUE
Leslie Kane,Garciamouth,57460,315,48346,9,30,FALSE
Matthew Moore,Harringtonview,117841,646,41845,25,65,TRUE
Sarah Phelps,Finleyfort,64993,336,41465,4,25,FALSE
Michael Mitchell,Lake Christopher,121988,400,42533,6,45,FALSE
Michael Berger,West Lauraport,119593,667,25565,27,70,TRUE
Joseph Knight,East Gregory,114939,691,41613,15,75,TRUE
Mr. David Little MD,Port Stevenport,39358,461,5840,28,35,FALSE
Victoria Evans,Vaughnmouth,109840,609,14055,24,70,TRUE
Ashley James,Baileyport,113227,322,44137,25,50,FALSE
Keith Jennings,New Julieport,52431,535,40784,22,35,FALSE
Connor King,Lake Colton,100010,6548,21246,28,55,FALSE
Jacob Anderson,Markchester,125568,479,14159,8,50,FALSE
Sherri Diaz,Mariaview,62087,793,20342,21,75,TRUE
Julie Jones,Port Erica,51417,706,37524,23,60,TRUE
James Baker,South Miguelview,90589,690,42847,23,65,TRUE
David Johnson,Rosebury,79735,364,42641,29,40,FALSE
Elizabeth Ortiz,North Sophia,65382,6110,33284,7,45,FALSE
Stephen Taylor,Watsonside,113886,729,39491,9,70,TRUE
Mary Bass,Crosbyview,120198,333,46238,23,50,FALSE
Jeremy Young,Corystad,103000,667,4968,25,75,TRUE
Walter Rush,Davisborough,58785,321,4314,21,50,FALSE
Cameron Cunningham,Port Kathyborough,119733,521,16269,21,55,FALSE
Rachel Carlson,Micheleberg,72504,433,36403,16,35,FALSE
Ashley Delacruz,North Michael,140474,543,39591,20,50,FALSE
Derek Martinez,Foxland,130704,787,30378,23,90,TRUE
Ashley Gordon,Lake Kristahaven,131711,608,31018,1,55,FALSE
John Morales,South Jennifermouth,37331,375,6294,20,35,FALSE
Ana Hill,Oscarhaven,60021,601,30734,32,50,FALSE
Annette Miles,South Shannon,137715,533,28119,21,55,FALSE
Jennifer Blair,Ronaldview,34207,683,11003,30,55,FALSE
Ronald Davis,Lake Joanneberg,135518,361,39434,35,50,FALSE
Meagan Jenkins,Parrishton,71347,594,40348,19,50,FALSE
Kenneth Lewis,Walkerville,82581,658,37455,23,55,FALSE
Donald Perez,Bruceside,65093,326,40911,17,35,FALSE
Donald Farmer,Michaelburgh,38675,446,38114,25,25,FALSE
Patrick Bonilla,Lake Alyssafurt,57653,729,30730,21,60,TRUE
Eric Nguyen,North Ericton,149686,383,18832,28,55,FALSE
Karla Ramos,Jasonhaven,104341,416,23621,27,55,FALSE
Michael Watkins,Brandonfurt,144867,356,1503,13,60,TRUE
Daniel Taylor,Keithville,124098,307,33596,27,50,FALSE
James Padilla,Charleston,71245,746,2228,29,85,TRUE
Shannon Johnston,Mckinneychester,57869,596,8548,25,60,TRUE
Frederick Solis,Collierstad,115909,390,29620,6,45,FALSE
Kevin Warren,Harrellmouth,95435,526,22827,10,50,FALSE
Mark Schmidt,Port Michael,81856,451,16484,6,45,FALSE
Craig Morrison,East Stephaniefort,145957,775,37944,37,85,TRUE
Thomas Cunningham,Michellemouth,149871,454,29820,4,45,FALSE
Mark Hogan,West Williamport,114259,772,30616,2,75,TRUE
Ronald Jones,New Brookefurt,90142,773,39032,35,75,TRUE
Nancy Williams,West Cassidy,48726,813,10886,3,65,TRUE
Robert Monroe,New Debbieton,64718,553,47374,28,35,FALSE
Kelly Bishop MD,Paulmouth,48301,353,42345,21,25,FALSE
Brandon Gregory,Johnathanberg,62325,641,6341,37,60,TRUE
Sydney Collins,Andersonland,127647,617,37629,24,65,TRUE
Erin Anderson,Lake Ellenhaven,103579,670,2194,23,85,TRUE
Trevor Peterson,Leeberg,100644,458,6057,18,60,TRUE
Ashley Wise,Lake Matthewberg,64438,685,11109,10,70,TRUE
Michael Weber,Lake Samuel,127912,720,24874,15,80,TRUE
Lisa Goodwin,Youngbury,106622,616,31737,12,65,TRUE
Travis Joyce,Hammondfurt,86155,814,35567,26,80,TRUE
Ruth Solis,Port John,147679,792,25327,35,90,TRUE
Michelle Black,West Christopherburgh,106484,579,30446,32,50,FALSE
Jeffrey Potts,Port Shannon,82350,657,2747,26,70,TRUE
Jonathan Young,West Jeffreymouth,77447,401,47838,21,40,FALSE
Brenda Mitchell,Hortonberg,58746,780,30399,39,70,TRUE
Bobby Scott,New Shelby,48131,840,28738,7,60,TRUE
Cynthia Martinez,South Danielle,96784,768,5116,7,85,TRUE
Kathryn Herrera,Lake Douglas,94686,739,1102,39,80,TRUE
Kenneth Lopez,New Theresaland,41915,838,36656,32,65,TRUE
Katie Smith,Williamsfurt,129061,682,17623,1,65,TRUE
Austin Allen,Port Bonniemouth,36175,436,3905,22,35,FALSE
Robin Thompson,Pollardfort,142866,486,9837,4,50,FALSE
Terri Johnson,North Kylie,44371,342,21682,19,25,FALSE
Virginia Daniels,Benjaminborough,50033,592,24394,3,40,FALSE
Evelyn Martinez,Samuelfurt,112240,750,26339,21,90,TRUE
Kathleen Jimenez,Lauriechester,50969,380,29220,38,35,FALSE
Catherine Carter MD,Donnaport,133819,756,40493,27,85,TRUE
Jeremy West,Christinachester,119192,581,42908,3,55,FALSE
Mark Cox,North Douglas,85333,748,3280,8,85,TRUE
Richard Diaz,Herrington,108172,457,45503,28,45,FALSE
Jacqueline Hines,New Michael,38326,621,43569,17,40,FALSE
Brian Fitzgerald,Holmesside,80432,420,18155,16,50,FALSE
Cindy Carr,Gonzalezberg,80019,375,30625,11,45,FALSE
Jill Miller,Elizabethland,108104,597,20657,10,70,TRUE
Tammy Little,Williamville,91348,505,10101,15,50,FALSE
Allison Spencer,Tannerside,99352,432,41104,5,35,FALSE
James Love,Foxchester,62953,375,9213,20,45,FALSE
Joanna Frazier,Davidside,102512,486,9456,27,60,TRUE
Sheena Guerra,West Fred,142824,630,47486,14,65,TRUE
Todd Jacobson,West Jamesside,31504,581,9203,40,45,FALSE
Joseph Shaw,New Shelly,119166,457,12219,39,55,FALSE
Lisa Kirby,Port Michelleland,124466,346,43038,36,50,FALSE
Daniel Armstrong,South Pamelaside,45014,596,43068,19,40,FALSE
Dr. Michael Evans,Lake Brianmouth,119353,725,32735,29,75,TRUE
Lawrence Edwards,Jessicastad,145970,708,9569,23,85,TRUE
Ashley Allen,West Shannonberg,100381,399,4316,18,60,TRUE
Sharon Barnes,Port Mark,128419,620,13440,10,70,TRUE
Mr. Jonathan Parker Jr.,Wagnerbury,64973,520,39230,22,35,FALSE
Douglas Harper,Mitchelltown,130741,410,29241,8,50,FALSE
Monica Gallagher,Brandonton,114012,499,24758,35,55,FALSE
James Cole,Marciaville,74587,431,7336,25,50,FALSE
William Grant,Kariborough,44621,821,27305,32,65,TRUE
Andrew Reeves,Stoneberg,68469,827,10160,20,85,TRUE
Emily Long,Brittneyhaven,86985,821,35887,31,80,TRUE
Elizabeth Cabrera,Markville,50730,726,39253,19,60,TRUE
Molly Watts,New Thomasshire,89470,533,48277,3,30,FALSE
Carolyn Fuller,Hernandezbury,30425,332,38523,7,20,FALSE
Jeremy Barnes,Vaughnchester,124646,813,41073,30,90,TRUE
Nancy Brown,New Jared,144799,632,44399,30,65,TRUE
Emily Thompson,Amyview,124329,795,13600,15,90,TRUE
Edwin David,Kellieborough,64522,800,21777,30,80,TRUE
Timothy Pope,Keithshire,95612,688,26856,22,70,TRUE
Regina Roberts,Stephanieland,129871,654,29991,16,70,TRUE
Cindy Clayton,Sarahview,53416,440,8158,39,45,FALSE
Cynthia Williams,Lake Jesse,96542,402,28086,21,45,FALSE
Ashlee Townsend,New Tiffanyburgh,149619,716,43787,30,75,TRUE
Curtis Maynard,Justinton,43947,391,43749,36,25,FALSE
Parker Jefferson,East Robertburgh,144100,337,27017,31,55,FALSE
Paul Brennan,Nancytown,111959,605,38221,38,65,TRUE
William Mitchell,Smallberg,69117,816,31672,17,75,TRUE
Brian Martin,Wongburgh,140319,314,49274,21,50,FALSE
Laura Todd,New Melissa,113748,715,29029,32,75,TRUE
James Davis,South Marcus,96540,554,1447,16,55,FALSE
Jeremy Adams,Kevinshire,109818,311,18141,23,55,FALSE
Amy Wilson,Erikhaven,56071,618,46238,7,45,FALSE
Teresa Richardson,East Susan,50032,789,11039,29,80,TRUE
Lisa Perry,Toddborough,79009,553,45586,38,40,FALSE
Angela Griffin,Christianshire,129943,414,5047,35,60,TRUE
Christina Herrera,West Melissa,51174,752,8617,13,80,TRUE
Katherine Nolan,Stokesmouth,100697,435,34636,26,50,FALSE
Anthony Ford,Jenniferfurt,132056,560,1197,13,60,TRUE
Amber Cooper,New Virginialand,99514,783,3079,18,90,TRUE
Randy Cannon,Brooksfurt,30074,759,25739,24,60,TRUE
Victor Baxter,Lake Michelle,108504,421,12696,34,55,FALSE
Cameron Irwin,Port Andrewport,72487,774,45138,34,70,TRUE
James Hall,Reedview,94042,493,48515,7,35,FALSE
Matthew Mendez,East Jamieville,32552,334,30257,38,25,FALSE
Shelby Sanchez,South Scottside,44662,522,4699,8,30,FALSE
Donna Cabrera,Barbaramouth,77576,542,20776,9,40,FALSE
Ms. Jennifer Hill,Lake Erika,145175,807,4072,22,100,TRUE
Megan Floyd,Heatherchester,139008,452,20653,24,55,FALSE
Joshua Allen,West Meredith,135745,447,31344,3,45,FALSE
Tracy Grant,South John,70306,508,22644,5,35,FALSE
Sarah Davis,North Joseph,61385,340,5769,12,50,FALSE
Laurie Powers,South Jason,37592,640,20869,0,25,FALSE
Colton Figueroa,Rochaborough,61571,706,16684,35,65,TRUE
Douglas Owens,Kylestad,145082,825,33589,29,95,TRUE
William Harrison,Robinstad,104364,620,28127,2,55,FALSE
Connie Thomas,Angelashire,40322,727,20345,9,45,FALSE
David Hudson,South Andrea,41226,645,17864,31,40,FALSE
Maria Henry,Lake Laura,125932,473,10172,34,60,TRUE
Thomas Weaver DDS,New Arthurland,93699,349,1418,26,55,FALSE
Mark Jones,North Jeffery,136957,766,25458,3,80,TRUE
Mary Jensen,Hopkinstown,39071,306,35879,35,25,FALSE
Alan Bowen,Andrechester,129693,483,8013,-5,55,FALSE
Daisy Harvey,Lisaview,99822,706,6178,23,80,TRUE
Judy Sanchez,West Gabriella,130379,382,43843,2,40,FALSE
James Tran,Lake Albertburgh,46483,384,33758,27,25,FALSE
Erin Madden,New Samanthabury,46828,516,46369,36,25,FALSE
Anthony Jones,Rachelshire,116474,333,12754,20,55,FALSE
Daniel Thomas,Hickmanport,92296,466,37959,15,40,FALSE
Sarah Rhodes,Patrickberg,102063,380,33819,22,50,FALSE
Jeffrey Roberson,Cassiefurt,51643,634,2941,40,65,TRUE
Willie Henry,Angelafurt,64741,742,13172,37,80,TRUE
Angelica Montgomery,Lake Charles,99163,574,11107,24,50,FALSE
Madison Singh,Michaelland,144351,305,21202,28,55,FALSE
Derrick Anderson,South Shane,109507,824,27741,6,85,TRUE
Hector Davis,Michelletown,85461,598,28119,24,60,TRUE
Misty Hansen,New Adriana,57760,689,12108,8,65,TRUE
Derrick Thomas,South Joshua,100686,606,32734,4,55,FALSE
Tony Le,Wheelerborough,128994,768,8010,8,90,TRUE
Travis Cook,Brockmouth,125673,750,22937,27,90,TRUE
Shannon Mccann,West Malik,120422,505,32392,20,50,FALSE
James Flores,Faulknerbury,56365,633,25645,17,50,FALSE
Jenna Wilson,New Wendy,123447,484,45676,35,50,FALSE
Nicholas Hahn,South Lauren,70857,370,27813,31,40,FALSE
Eric King,Lake Rodney,82296,686,5847,28,80,TRUE
Karen Morales DDS,Stephensstad,118039,849,39916,40,90,TRUE
Ashley Wright,Gabrielton,115180,709,22731,27,80,TRUE
Brett Walker,South Neil,78944,774,45535,37,75,TRUE
Brittany Cuevas,Garciachester,87422,387,8606,9,50,FALSE
Grant Mueller,Baileyville,147914,748,48316,28,85,TRUE
Eric Patrick,North Melindaville,97839,468,49528,15,40,FALSE
Kristen Rivera,Mullenbury,89177,714,42271,11,65,TRUE
Matthew Foster,South Brittany,45860,698,1291,13,65,TRUE
Paul Stokes,New Cristianside,62493,491,24972,20,40,FALSE
Brian Lambert,Rosemouth,59451,697,41062,25,60,TRUE
Hannah Bruce,Port Emily,38392,604,41270,37,40,FALSE
Cesar Wilson,Darylstad,74313,444,34477,24,35,FALSE
Chad Reyes,South Cynthia,32757,477,37366,10,25,FALSE
Charles Edwards MD,Port Michaeltown,107110,796,9947,12,95,TRUE
Tracey Wagner,Ortizfort,102603,725,47539,28,70,TRUE
Bradley Johnson DDS,Antoniobury,60161,850,19918,10,80,TRUE
Krystal Barton,Dunnville,107128,416,18556,34,55,FALSE
Holly Carson,Port Jenniferside,58864,523,28862,6,30,FALSE
Martha Wright,South Joseland,30942,749,8693,15,65,TRUE
Oscar Norris,Martinberg,39305,511,14562,3,20,FALSE
Kim Carlson,West Tiffany,122778,599,19961,36,70,TRUE
Scott Duke,East Sydneychester,112719,360,19174,8,50,FALSE
Brandi Thomas,Mariafurt,37716,801,10317,36,70,TRUE
Lori Brooks,Lake Lauraland,60007,712,34791,17,60,TRUE
Sherry Gibson,Murphytown,38834,395,48902,29,25,FALSE
Melissa Horn,Robinsonchester,148675,516,33421,17,55,FALSE
Drew Kelley,New Melissa,34117,651,45731,3,30,FALSE
Mark Copeland,North Sarahburgh,142674,751,30918,0,75,TRUE
Jessica Forbes DVM,Erikview,73309,395,43899,23,35,FALSE
Jacob Mckee,North Randy,39287,612,48578,14,40,FALSE
Brandon Davis,South Christian,97391,531,35042,28,45,FALSE
Michael Montoya,Bensonfort,61195,372,16004,24,40,FALSE
Robert Garcia,Nicoleberg,66500,691,9725,9,65,TRUE
Justin Bishop,South Michael,117684,518,42161,9,45,FALSE
Lisa Ramos,North Peggy,93624,443,9071,37,55,FALSE
Heather Jordan,East Joshua,58080,386,17263,35,40,FALSE
Michelle Mitchell,Port Melanieport,100678,510,34931,38,50,FALSE
Nicole Phillips,Port Rachaelbury,47342,806,26289,7,60,TRUE
Alexandria Ward,Davidshire,124811,730,24947,34,80,TRUE
Pamela Best,North Brendatown,145655,568,15138,2,45,FALSE
Tiffany Sanders,Courtneyhaven,104847,725,28759,25,75,TRUE
Joshua Jensen,Christopherland,105525,823,14316,9,90,TRUE
Jeanette Walters,West Hollybury,91953,359,17022,5,45,FALSE
Audrey Salazar,West Elizabethburgh,61850,422,1830,8,45,FALSE
Carla Benton,Garyberg,132841,575,49033,7,45,FALSE
Alyssa Roman,Alexandriaview,91993,378,33515,29,45,FALSE
Amy Villarreal,West Eric,135840,405,38611,7,45,FALSE
Jordan Williams,East Brandonstad,83354,692,10835,11,75,TRUE
Shannon Tran,Walkerbury,54957,726,48204,20,60,TRUE
Blake Watson,East Jeffreyhaven,42363,347,27275,4,15,FALSE
Sharon Ayala,Markside,42704,767,1522,23,75,TRUE
Justin Torres,South Micheal,116374,805,13807,34,95,TRUE
Danielle Smith,Johnsonside,86498,654,42677,0,40,FALSE
April Sandoval,Daltonhaven,76438,543,28513,31,45,FALSE
Valerie Thomas,Christopherbury,85519,832,28070,23,85,TRUE
Paul Carpenter,Lake Lori,83883,376,39790,36,40,FALSE
Matthew Anderson,Josemouth,91213,702,46922,20,65,TRUE
Dillon Jones,East Kimberly,143224,411,11184,6,55,FALSE
John Russell,Tamiborough,125561,762,21205,29,90,TRUE
Bryan Moore,Margaretton,37100,520,22482,9,20,FALSE
David Kelly,Lake Kentburgh,118259,331,27502,28,55,FALSE
Krista Davis,Port Lauraville,115649,312,5041,14,60,TRUE
Rodney Watson,New Brendaland,114696,322,5225,12,60,TRUE
Jill Anderson,Davidmouth,42899,351,12009,36,30,FALSE
Nathaniel Crawford,Vegaburgh,37944,662,15071,11,45,FALSE
Jeremy Hernandez,Lake Kenneth,82772,721,37089,30,65,TRUE
Douglas Taylor,Lake Nicole,125448,838,17328,40,95,TRUE
Kimberly Smith MD,Timothyfort,74473,652,38070,32,50,FALSE
Devin Johnson,North Paula,134935,587,4839,30,75,TRUE
Pamela Key,North John,142941,546,18467,34,55,FALSE
Sylvia Brown,New Meghan,44322,697,24252,11,50,FALSE
Kevin Drake,Robintown,62591,660,38201,36,50,FALSE
Travis Copeland,Weaverburgh,55112,802,3487,5,85,TRUE
Kyle Smith,Smithborough,54931,433,23331,11,35,FALSE
Sarah Morris,East Brendaberg,100292,413,35491,23,50,FALSE
Jacqueline Mcmahon,Willismouth,88800,609,22142,8,60,TRUE
Morgan Kim,Banksburgh,48373,665,15630,37,45,FALSE
Jamie Gross,Davidtown,85296,700,38190,2,55,FALSE
Evan Lamb,Lake Ariana,54050,808,10217,21,85,TRUE
Cynthia Haas,Lake Nicole,66509,390,47462,40,35,FALSE
Gabriela Smith,East Heather,90637,658,17820,6,60,TRUE
Amber Kim,Costachester,62742,804,25819,22,75,TRUE
Ashley Mendoza,East Shannon,144620,334,20327,1,40,FALSE
Trevor Jones,South Eugene,39880,376,36851,5,20,FALSE
William Barry,South Sherriburgh,88082,744,11295,3,75,TRUE
Daniel Lee,Donnaport,135909,543,7285,3,50,FALSE
Joshua Henry,West Adamland,142898,601,44386,40,65,TRUE
Christina Johnson,Lake Kelly,142193,383,32035,7,50,FALSE
James Burns,Christopherside,102132,696,13116,23,80,TRUE
Jaclyn Griffin,Scottview,42833,531,18600,36,25,FALSE
Paul Contreras,Lake Mauriceside,36630,723,39648,14,50,FALSE
Sara Cardenas,Sheppardfort,115477,541,32212,19,50,FALSE
Steven Klein,North Stacy,100855,759,12329,10,90,TRUE
Rhonda Martinez,Millerchester,139579,506,42105,9,45,FALSE
Deanna Bartlett,North Paulfurt,31934,633,19101,33,40,FALSE
Shane Buchanan,Rodriguezberg,42224,451,38132,37,25,FALSE
Traci Garcia,New Kimberlyport,128771,848,23535,26,95,TRUE
Matthew Armstrong,Johnsonview,141240,712,10427,39,85,TRUE
Melissa Williams,Hannahton,60982,786,18601,23,75,TRUE
Robert Turner,Meganville,51798,533,9807,19,45,FALSE
Jessica Petersen,Jessicaland,83269,492,29948,13,45,FALSE
Jennifer Washington,Lorihaven,93653,462,5300,19,55,FALSE
Jennifer Deleon,East Jamesborough,93092,359,17350,2,40,FALSE
Thomas Bush,Michealmouth,58016,817,27014,40,75,TRUE
Melanie Allen,Wheelerburgh,143331,785,39461,35,85,TRUE
Christopher Kline,West Anthonyton,82565,466,38503,13,40,FALSE
Maria Byrd,Denisehaven,148284,320,45708,0,35,FALSE
Carlos Thompson,East Johnnyport,37685,581,28774,24,40,FALSE
Judy Robinson,Ericafurt,51579,404,1481,32,50,FALSE
Dr. Sara Hoffman DDS,Kennethville,79672,793,5183,21,90,TRUE
Margaret Hensley MD,Jacobhaven,30282,546,4720,38,35,FALSE
Francisco Taylor,Lake Tylerport,81173,565,28431,25,45,FALSE
Andrew Erickson,West Jessica,64760,527,45978,34,35,FALSE
Karen Shepard,Williamburgh,132769,485,20253,6,50,FALSE
Patrick Hardy,Lake Rachel,132908,391,15565,22,55,FALSE
Seth Fisher,Nathanshire,89638,601,31393,7,55,FALSE
Sean Silva,South Pamelahaven,67388,422,45610,24,35,FALSE
Jennifer Pitts,East Victoria,85444,650,27816,36,60,TRUE
Victoria Thomas,Port Christopher,121303,640,42355,11,65,TRUE
Anthony Hayes,Port Kim,125748,462,33084,5,45,FALSE
Jeffrey Jordan,Sanfordfurt,132676,304,3472,34,60,TRUE
Jake Smith,Katherinehaven,102845,495,2174,0,45,FALSE
Danielle Steele,Larryville,116752,692,33986,37,75,TRUE
Austin Williams,Stephenhaven,124163,836,23140,27,95,TRUE
Whitney Cooper,Howardborough,93788,468,27436,1,30,FALSE
Nicholas Anderson,New Williamville,50289,675,47603,2,50,FALSE
Martin Wise,New Virginiaville,54890,320,4161,70,45,FALSE
James Kelley,Milesborough,68890,309,20733,26,40,FALSE
Mary Nelson,South Maria,58534,407,34527,39,35,FALSE
Brian Rodriguez,New James,37665,569,35284,12,25,FALSE
Jason Martin,Lozanofort,105914,638,16368,0,55,FALSE
Brandon Rodriguez,Hernandezland,126434,823,5918,6,95,TRUE
Maria Bryant,Josephton,101066,402,12449,2,45,FALSE
Heather Rhodes,Rodgersville,37989,346,1633,8,35,FALSE
Carolyn Howard,Friedmanview,128038,395,25420,21,55,FALSE
James Rivers,Maryfort,71104,731,43522,10,60,TRUE
Michael Brown,North Robert,37492,794,38286,28,60,TRUE
James Howard,Port Gabrielleberg,36572,794,32989,7,55,FALSE
Jessica Brown,Alexanderhaven,106569,529,44898,21,45,FALSE
Melissa Montgomery,Stanleybury,92493,793,23659,24,80,TRUE
Ronald Mcclain,North Dawnburgh,95909,817,31755,31,85,TRUE
Angela Vasquez,West Tara,141767,351,34222,14,55,FALSE
Jamie Montoya,South Seanshire,99615,758,6768,31,90,TRUE
Bryan Jimenez,North Richardton,50635,300,6956,38,45,FALSE
Marcia Wu,Lake Emily,37455,649,24812,3,30,FALSE
Sarah Rivera,Moranstad,96562,763,8472,6,85,TRUE
Courtney Peterson,Amystad,40500,408,4000,10,40,FALSE
Rodney Newton MD,Cherylborough,141587,423,26748,13,55,FALSE
Richard Love,Port Robertshire,54356,426,30524,29,35,FALSE
Tina Taylor,Smithton,38981,743,39346,30,60,TRUE
Priscilla Kent,Lake Lisa,107992,406,26389,38,55,FALSE
Erica Keith,Pettybury,38907,580,27074,21,40,FALSE
Jodi Anderson,Morrisonhaven,118501,606,46973,35,65,TRUE
Michelle Walls,East Jason,142960,597,45997,22,65,TRUE
Brandi Page,New Amy,60828,630,47553,7,45,FALSE
Kristina Aguilar,Craigside,82923,592,28681,0,45,FALSE
